Sample Count,PPG1,smoothPPG1,PPG2,smoothPPG2
447,1858,0.03905593821349217,1187,-0.04844794256590548
448,1853,0.07668177886569146,1187,-0.04530441356156064
449,1853,0.025716967249682837,1186,-0.06337116156401332
450,1851,-0.07877753107152757,1186,-0.04321005968975171
451,1856,-0.21871166590766639,1187,-0.04429991741886717
452,1858,-0.32282428674899355,1185,-0.05804847717731049
453,1856,-0.3699187300231107,1185,-0.034939797184732085
454,1854,-0.4024621186141786,1184,-0.05478010085788172
455,1857,-0.43745871477590936,1187,-0.13671894067236223
456,1861,-0.4793566416987003,1186,-0.17454153997416055
457,1863,-0.49195059057098073,1186,-0.15696678067665015
458,1859,-0.5014570675071142,1186,-0.1334680646101371
459,1859,-0.535374516766295,1186,-0.07388492193516086
460,1865,-0.5211179579594548,1186,-0.022413852755571655
461,1864,-0.43190191648389675,1185,-0.06361287469731454
462,1861,-0.3177135260431324,1187,-0.11638811443490278
463,1863,-0.18582162870385352,1186,-0.122284301961063
464,1866,0.01570440985858161,1186,-0.1413874571157536
465,1872,0.3584588774333085,1186,-0.17240431293171687
466,1873,0.8370447897085851,1186,-0.20144686461066316
467,1869,1.3911694224757154,1187,-0.21348722013592342
468,1864,1.884451113811791,1186,-0.16944769167816393
469,1871,2.3617799812439793,1186,-0.11819022956908756
470,1876,2.844199814961547,1187,-0.1030186056557763
471,1875,3.3513268784129258,1187,-0.08956061865862673
472,1871,3.910662237926966,1186,-0.06999315440335388
473,1873,4.54600773311947,1186,-0.036870352299189314
474,1878,5.165941913795229,1188,-0.001154162045488294
475,1881,5.7412453998505395,1184,-0.0003433681572645869
476,1878,6.222264965432869,1187,0.03099162804060272
477,1875,6.56332944215745,1186,0.11184631881644382
478,1878,6.8054791945881075,1186,0.12205636469289717
479,1882,7.042948377566799,1186,0.07129968486274656
480,1881,7.198696142151868,1187,0.06624096224281147
481,1879,7.205438440609119,1186,0.0878688036486385
482,1880,7.156331659856035,1186,0.08676062142876462
483,1882,7.072353566946967,1186,0.075252325170577
484,1890,6.859347270642555,1186,0.06687814768925812
485,1887,6.552318329753822,1185,0.04001622386333639
