index,Raw_PPG1,Raw_PPG2,originalPPG1,originalPPG2
40,2.1515609034481704,2.132192585136722,28216,27962
41,2.147061963367952,2.1353952204480637,28157,28004
42,2.1507983712311844,2.136996538103735,28206,28025
43,2.153314727547239,2.132573851245215,28239,27967
44,2.14828201491513,2.137377804212228,28173,28030
45,2.1555260709764985,2.1340226624574887,28268,27986
46,2.152247182443458,2.1354714736697624,28225,28005
47,2.155221058089704,2.1360814994433515,28264,28013
48,2.156669869301978,2.1330313705754067,28283,27973
49,2.154077259764225,2.137606563877324,28249,28033
50,2.1604825303869086,2.1346326882310778,28333,27994
51,2.1578899208491555,2.1354714736697624,28299,28005
52,2.1599487578350183,2.136615271995242,28326,28020
53,2.1623126077076757,2.132573851245215,28357,27967
54,2.158423693401046,2.1384453493160085,28306,28044
55,2.1664302816794008,2.1358527397782554,28411,28010
56,2.1634564060331547,2.1368440316603374,28372,28023
57,2.1655152430190174,2.139512894419789,28399,28058
58,2.169327904103948,2.135166460782968,28449,28001
59,2.164600204358634,2.1394366411980905,28387,28057
60,2.170700462094523,2.13836909609431,28467,28043
61,2.168794131552058,2.136920284882036,28442,28024
62,2.16704030745299,2.142258010400939,28419,28094
63,2.1725305394152903,2.137149044547132,28491,28027
64,2.1657440026841135,2.1400466669716796,28402,28065
65,2.168565371886962,2.137987829985817,28439,28038
66,2.165591496240716,2.1350902075612694,28400,28000
67,2.1623126077076757,2.138521602537707,28357,28045
68,2.1654389897973187,2.1330313705754067,28398,27973
69,2.1579661740708542,2.134937701117872,28300,27998
70,2.1594912385048266,2.1340226624574887,28320,27986
71,2.1575086547406626,2.1306675207027497,28294,27942
72,2.1533909807689375,2.1353952204480637,28240,28004
73,2.1584999466227446,2.1307437739244484,28307,27943
74,2.1524759421085538,2.1322688383584207,28228,27963
75,2.153848500099129,2.1322688383584207,28246,27963
76,2.1535434872123345,2.1296762288206676,28242,27929
77,2.1504171051226915,2.134937701117872,28201,27998
78,2.155907337084992,2.1308962803678453,28273,27945
79,2.152247182443458,2.1300574949291606,28225,27934
80,2.1504171051226915,2.1346326882310778,28201,27994
81,2.1565173628585805,2.128227417608394,28281,27910
82,2.149883332570801,2.1322688383584207,28194,27963
83,2.1558310838632933,2.1297524820423663,28272,27930
84,2.153695993655732,2.129981241707462,28244,27933
85,2.1551448048680055,2.131582559363133,28263,27954
86,2.1573561482972656,2.127007366061216,28292,27894
87,2.151713409891568,2.131582559363133,28218,27954
88,2.1575849079623612,2.1297524820423663,28295,27930
89,2.1548397919812112,2.1294474691555716,28259,27926
90,2.153848500099129,2.133336383462201,28246,27977
91,2.158423693401046,2.1285324304951883,28306,27914
92,2.152323435665157,2.132955117353708,28226,27972
93,2.1565173628585805,2.132345091580119,28281,27964
94,2.1545347790944165,2.1314300529197356,28255,27952
95,2.1533909807689375,2.1354714736697624,28240,28005
96,2.1583474401793477,2.1308200271461466,28305,27944
97,2.152857208217047,2.1332601302405028,28233,27976
98,2.156441109636882,2.13394640923579,28280,27985
99,2.1581949337359503,2.1289136966036812,28303,27919
100,2.152628448551951,2.1334126366838997,28230,27978
101,2.1585761998444433,2.1299049884857633,28308,27932
102,2.154306019429321,2.1321163319150234,28252,27961
103,2.156441109636882,2.133336383462201,28280,27977
104,2.157432401518964,2.1304387610376536,28293,27939
105,2.1535434872123345,2.1357002333348585,28242,28008
106,2.160025011056717,2.1328788641320093,28327,27971
107,2.156974882188772,2.1334888899055984,28287,27979
108,2.158271186957649,2.1352427140046664,28304,28002
109,2.1608637964954016,2.130972533589544,28338,27946
110,2.1562123499717862,2.136920284882036,28277,28024
111,2.1634564060331547,2.1350139543395708,28372,27999
112,2.1599487578350183,2.136310259108447,28326,28016
113,2.1608637964954016,2.139512894419789,28338,28058
114,2.1642951914718394,2.13562398011316,28383,28007
115,2.1603300239435117,2.139894160528282,28331,28063
116,2.1658202559058117,2.137377804212228,28403,28030
117,2.1642951914718394,2.1348614478961734,28383,27997
118,2.1641426850284424,2.1400466669716796,28381,28065
119,2.1719205136417012,2.134937701117872,28483,27998
120,2.16704030745299,2.138597855759406,28419,28046
121,2.1719205136417012,2.137606563877324,28483,28033
122,2.170776715316222,2.1372252977688304,28468,28028
123,2.17031919598603,2.1418767442924462,28462,28089
124,2.1762669472785223,2.137606563877324,28540,28033
